day,time_slot,is_festival,is_holiday,location_type,city_type,nearby_transport,upcoming_festival,crowd_percentage
Tuesday,06:30-07:00,No,Yes,Residential,Tier III,Railway Station,Yes,0.3960142899725313
Sunday,22:00-22:30,No,No,Market,Tier III,None,Yes,0.9469670555341265
Sunday,06:00-06:30,No,Yes,Office Area,Tier I,None,No,0.48281089482001527
Thursday,10:00-10:30,Yes,Yes,Market,Tier I,Airport,Yes,0.8254917888339561
Wednesday,09:30-10:00,Yes,Yes,Commercial,Tier II,None,No,0.5984670440646646
Thursday,14:30-15:00,No,No,Commercial,Tier I,None,No,0.7093006924074972
Monday,19:00-19:30,No,Yes,Commercial,Tier I,None,Yes,0.10720654586735723
Friday,05:00-05:30,No,No,Residential,Tier II,Bus Stand,Yes,0.14432350311231845
Saturday,09:30-10:00,No,No,Market,Tier II,Airport,Yes,0.05036676289504638
Wednesday,18:30-19:00,Yes,No,Market,Tier I,Bus Stand,No,0.8472060567202557
Saturday,19:30-20:00,Yes,No,Office Area,Tier II,Bus Stand,Yes,0.4436821963208224
Saturday,19:30-20:00,No,No,Market,Tier I,Airport,Yes,0.11521204746005709
Monday,18:00-18:30,No,Yes,Residential,Tier I,Railway Station,Yes,0.26166788772773153
Monday,01:00-01:30,No,No,Office Area,Tier I,Bus Stand,No,0.560698741063538
Thursday,03:00-03:30,No,No,Residential,Tier I,Railway Station,Yes,0.4447415393298507
Tuesday,21:00-21:30,No,No,Commercial,Tier II,Railway Station,Yes,0.46791977057683143
Thursday,00:30-01:00,No,Yes,Office Area,Tier II,None,Yes,0.2245564985499272
Thursday,02:00-02:30,No,No,Office Area,Tier II,Airport,No,0.11249466505482386
Saturday,08:30-09:00,Yes,Yes,Market,Tier I,Airport,No,0.9729942210388354
Monday,14:30-15:00,No,Yes,Office Area,Tier III,Bus Stand,No,0.20894385031254337
Wednesday,20:30-21:00,No,Yes,Residential,Tier III,Bus Stand,No,0.8160230100293103
Thursday,02:30-03:00,No,Yes,Market,Tier III,None,No,0.9790015414193732
Wednesday,14:30-15:00,Yes,No,Commercial,Tier II,Airport,No,0.9074860546507678
Sunday,10:00-10:30,Yes,No,Office Area,Tier II,None,Yes,0.18445289268373555
Monday,02:30-03:00,No,Yes,Market,Tier I,Airport,No,0.701135440570321
Friday,08:30-09:00,Yes,Yes,Office Area,Tier II,None,Yes,0.8781318289581789
Friday,03:00-03:30,No,No,Residential,Tier I,Railway Station,No,0.197388772218139
Saturday,06:00-06:30,No,No,Commercial,Tier III,Railway Station,Yes,0.9973275129883217
Wednesday,18:00-18:30,Yes,Yes,Commercial,Tier III,Airport,Yes,0.4066085889843415
Monday,12:30-13:00,Yes,No,Residential,Tier I,Airport,No,0.5713790982153962
Thursday,18:00-18:30,Yes,Yes,Office Area,Tier III,Bus Stand,Yes,0.28311068167182785
Wednesday,11:00-11:30,No,Yes,Commercial,Tier I,None,Yes,0.7839246451510293
Monday,05:00-05:30,No,Yes,Commercial,Tier III,None,Yes,0.33577838961520456
Wednesday,09:30-10:00,Yes,No,Residential,Tier III,Airport,Yes,0.719418497133362
Thursday,23:00-23:30,Yes,No,Commercial,Tier III,Airport,No,0.6738193483637108
Tuesday,16:00-16:30,No,Yes,Commercial,Tier II,Railway Station,No,0.3122417168236693
Sunday,02:30-03:00,Yes,Yes,Commercial,Tier III,Bus Stand,Yes,0.923808244060927
Monday,03:00-03:30,No,No,Office Area,Tier I,Airport,Yes,0.7245955705543051
Tuesday,05:00-05:30,Yes,No,Residential,Tier I,Bus Stand,Yes,0.15638703340430293
Thursday,21:00-21:30,No,Yes,Commercial,Tier II,None,Yes,0.5683631027243792
Monday,12:30-13:00,No,No,Office Area,Tier III,Railway Station,Yes,0.7457354158624693
Thursday,18:30-19:00,Yes,Yes,Commercial,Tier II,None,No,0.5505165093667234
Saturday,05:30-06:00,Yes,Yes,Commercial,Tier III,Railway Station,Yes,0.07294512588230018
Tuesday,19:00-19:30,No,Yes,Residential,Tier I,Bus Stand,No,0.04496652350889441
Wednesday,00:30-01:00,Yes,No,Residential,Tier I,Railway Station,No,0.4917923937155322
Friday,22:30-23:00,No,Yes,Residential,Tier II,Railway Station,No,0.8937575086276053
Thursday,02:30-03:00,Yes,Yes,Commercial,Tier II,Airport,No,0.042209136090916366
Sunday,11:30-12:00,No,No,Market,Tier II,Airport,No,0.2540907706501113
Friday,23:30-00:00,Yes,Yes,Market,Tier I,Airport,Yes,0.3627101931604082
Monday,02:00-02:30,No,No,Market,Tier I,Railway Station,Yes,0.5521624654715452
Wednesday,04:30-05:00,No,Yes,Market,Tier II,Airport,Yes,0.040009712321222746
Saturday,05:00-05:30,Yes,Yes,Commercial,Tier III,Bus Stand,No,0.35614795911408115
Saturday,11:30-12:00,Yes,No,Commercial,Tier I,Airport,No,0.295637564746132
Thursday,19:30-20:00,No,No,Market,Tier III,Bus Stand,Yes,0.6732740176937616
Wednesday,11:00-11:30,Yes,Yes,Residential,Tier II,Bus Stand,No,0.7756030753401298
Monday,16:00-16:30,No,No,Commercial,Tier III,Railway Station,No,0.6082959280372114
Saturday,17:00-17:30,No,No,Market,Tier II,Bus Stand,Yes,0.9405857991266535
Sunday,22:30-23:00,Yes,No,Commercial,Tier I,Railway Station,No,0.7227318914834311
Wednesday,22:30-23:00,Yes,No,Market,Tier I,Airport,No,0.9723338927487255
Monday,09:00-09:30,No,No,Commercial,Tier I,Railway Station,No,0.7386699002286512
Friday,19:00-19:30,Yes,No,Commercial,Tier I,Bus Stand,No,0.3336009460825933
Tuesday,11:00-11:30,No,No,Office Area,Tier III,Airport,No,0.26391304262075466
Friday,22:30-23:00,No,Yes,Residential,Tier III,Bus Stand,Yes,0.8581524781622063
Saturday,19:30-20:00,Yes,Yes,Office Area,Tier II,None,Yes,0.7403648367377205
Sunday,23:00-23:30,No,Yes,Commercial,Tier I,None,Yes,0.9955998036132514
Thursday,15:30-16:00,No,No,Residential,Tier II,Airport,No,0.9533695858719925
Thursday,11:30-12:00,Yes,Yes,Residential,Tier III,Railway Station,Yes,0.5537468062233714
Wednesday,13:00-13:30,Yes,Yes,Residential,Tier III,Bus Stand,No,0.6312580655470218
Tuesday,01:00-01:30,Yes,No,Commercial,Tier I,Airport,No,0.5854741783098112
Sunday,05:30-06:00,Yes,No,Market,Tier III,Airport,No,0.535334167796311
Friday,10:00-10:30,No,Yes,Commercial,Tier I,Bus Stand,Yes,0.5655820771410347
Saturday,22:00-22:30,Yes,No,Market,Tier II,None,Yes,0.7466153615446154
Thursday,15:30-16:00,Yes,Yes,Commercial,Tier I,Bus Stand,Yes,0.9317595988487165
Tuesday,15:30-16:00,Yes,No,Commercial,Tier II,Railway Station,Yes,0.7932431587386588
Monday,23:30-00:00,No,No,Residential,Tier III,None,Yes,0.6775377895506753
Thursday,05:30-06:00,No,No,Commercial,Tier II,Railway Station,Yes,0.34736997249245916
Thursday,05:30-06:00,Yes,No,Commercial,Tier II,Railway Station,Yes,0.30044589953924894
Monday,00:30-01:00,Yes,No,Market,Tier III,Railway Station,Yes,0.03831225696506102
Friday,14:30-15:00,No,No,Commercial,Tier I,Railway Station,No,0.6977904223310417
Wednesday,18:00-18:30,Yes,Yes,Market,Tier I,Railway Station,Yes,0.7298369973057669
Sunday,05:30-06:00,Yes,Yes,Market,Tier I,None,Yes,0.2192283127191349
Thursday,10:30-11:00,Yes,No,Commercial,Tier II,Bus Stand,Yes,0.8567172138541214
Wednesday,01:30-02:00,Yes,Yes,Office Area,Tier II,None,Yes,0.8072307481250874
Friday,12:30-13:00,Yes,Yes,Office Area,Tier III,Railway Station,No,0.6122534398964152
Tuesday,08:30-09:00,No,No,Residential,Tier II,None,Yes,0.23872636129945612
Tuesday,21:30-22:00,Yes,Yes,Market,Tier III,Bus Stand,Yes,0.16894777277087603
Sunday,04:30-05:00,No,Yes,Residential,Tier II,Airport,Yes,0.801469557894801
Sunday,14:30-15:00,No,Yes,Commercial,Tier I,Railway Station,Yes,0.9871376997165259
Monday,23:00-23:30,No,No,Market,Tier I,Airport,No,0.21904639583577323
Wednesday,09:00-09:30,No,Yes,Commercial,Tier III,None,Yes,0.2524491967605953
Monday,15:00-15:30,Yes,No,Market,Tier II,Railway Station,Yes,0.17076490490610863
Monday,18:30-19:00,Yes,No,Market,Tier I,Bus Stand,No,0.24908136380437174
Friday,13:30-14:00,No,No,Residential,Tier III,None,Yes,0.30539298066810394
Friday,13:30-14:00,No,Yes,Market,Tier II,Airport,No,0.19577922276395066
Tuesday,23:00-23:30,No,No,Residential,Tier I,None,Yes,0.8394582574710402
Sunday,19:30-20:00,No,Yes,Office Area,Tier I,Railway Station,No,0.8051382584606974
Monday,13:30-14:00,No,Yes,Commercial,Tier I,Railway Station,Yes,0.21676154078079524
Monday,12:30-13:00,No,Yes,Residential,Tier II,Railway Station,Yes,0.936706331051723
Monday,06:00-06:30,Yes,No,Market,Tier II,None,No,0.8895884325548625
Saturday,08:30-09:00,Yes,Yes,Commercial,Tier III,Railway Station,Yes,0.9403558695391392
Tuesday,03:30-04:00,No,No,Commercial,Tier III,Airport,Yes,0.5524465937263178
Monday,03:30-04:00,No,Yes,Residential,Tier I,Bus Stand,No,0.9574301216722622
Saturday,02:30-03:00,No,No,Market,Tier II,Bus Stand,Yes,0.4089872643744117
Sunday,04:00-04:30,Yes,Yes,Commercial,Tier II,Airport,No,0.8426422585078179
Saturday,07:30-08:00,No,No,Commercial,Tier II,Railway Station,Yes,0.41515472102721407
Monday,00:30-01:00,Yes,Yes,Office Area,Tier III,Railway Station,No,0.39409529458196835
Tuesday,14:30-15:00,Yes,No,Market,Tier I,Railway Station,Yes,0.3646919129725166
Thursday,01:00-01:30,Yes,Yes,Market,Tier III,None,No,0.05717125123892752
Monday,10:00-10:30,Yes,No,Commercial,Tier III,Bus Stand,Yes,0.4908220806070066
Wednesday,22:30-23:00,Yes,No,Residential,Tier II,Railway Station,Yes,0.741106119513804
Tuesday,22:30-23:00,No,No,Commercial,Tier II,Bus Stand,Yes,0.5261367441533071
Wednesday,18:00-18:30,No,No,Market,Tier III,Railway Station,Yes,0.9019802103794446
Friday,04:00-04:30,Yes,Yes,Residential,Tier III,Bus Stand,No,0.47192580586468036
Sunday,04:30-05:00,No,No,Residential,Tier III,Bus Stand,Yes,0.43892294355268857
Wednesday,17:00-17:30,Yes,No,Market,Tier III,Bus Stand,No,0.6942827965962276
Monday,11:30-12:00,No,No,Residential,Tier II,None,No,0.9016761358370566
Monday,15:00-15:30,No,No,Residential,Tier I,Airport,No,0.944574881883335
Monday,05:00-05:30,No,Yes,Office Area,Tier II,Bus Stand,No,0.8621311137385294
Saturday,23:00-23:30,No,No,Market,Tier II,None,No,0.6221969813420014
Thursday,17:30-18:00,Yes,Yes,Market,Tier II,None,Yes,0.7174523191867942
Friday,05:30-06:00,Yes,Yes,Office Area,Tier I,Railway Station,Yes,0.3975814721299439
Thursday,12:30-13:00,Yes,No,Residential,Tier II,Airport,No,0.2681131454484805
Friday,02:00-02:30,No,No,Market,Tier III,Bus Stand,Yes,0.041249761709589716
Wednesday,09:30-10:00,Yes,Yes,Market,Tier I,Airport,Yes,0.6702476204274589
Wednesday,18:00-18:30,No,No,Market,Tier I,Bus Stand,Yes,0.09658105575525533
Wednesday,21:00-21:30,Yes,No,Market,Tier III,Bus Stand,Yes,0.4733705525351265
Tuesday,21:30-22:00,No,No,Residential,Tier III,None,Yes,0.5212609007239019
Tuesday,14:30-15:00,Yes,No,Commercial,Tier I,Bus Stand,Yes,0.8805496436472134
Monday,17:30-18:00,No,No,Office Area,Tier II,Airport,Yes,0.6024571106580383
Friday,17:30-18:00,Yes,Yes,Office Area,Tier I,Bus Stand,Yes,0.8824355077816824
Tuesday,04:00-04:30,No,No,Commercial,Tier I,Bus Stand,Yes,0.39398848926653174
Sunday,00:00-00:30,No,Yes,Residential,Tier III,None,No,0.24680709571871895
Monday,00:00-00:30,No,Yes,Market,Tier II,Bus Stand,Yes,0.9911549015409207
Sunday,12:30-13:00,No,No,Commercial,Tier I,None,Yes,0.8257791043157573
Wednesday,16:30-17:00,Yes,No,Office Area,Tier II,Bus Stand,No,0.700877607624965
Thursday,16:00-16:30,Yes,No,Residential,Tier I,Airport,Yes,0.8769331633159806
Wednesday,04:30-05:00,Yes,Yes,Market,Tier III,None,Yes,0.5603899379000192
Monday,13:00-13:30,Yes,No,Market,Tier III,None,No,0.8016527424887682
Wednesday,01:30-02:00,Yes,Yes,Market,Tier II,Bus Stand,No,0.22596754899143645
Wednesday,00:00-00:30,No,No,Office Area,Tier I,Bus Stand,Yes,0.04589580295922424
Monday,04:30-05:00,No,Yes,Market,Tier II,Airport,No,0.8286156945039799
Tuesday,12:30-13:00,Yes,No,Office Area,Tier II,None,No,0.3088345270957663
Wednesday,06:00-06:30,No,Yes,Office Area,Tier III,None,Yes,0.943559102311398
Friday,02:30-03:00,Yes,Yes,Residential,Tier I,Bus Stand,Yes,0.35310476459554274
Wednesday,06:00-06:30,Yes,Yes,Market,Tier II,Bus Stand,Yes,0.04887608496418183
Wednesday,14:00-14:30,Yes,Yes,Commercial,Tier II,Airport,Yes,0.37070335740681915
Friday,16:30-17:00,No,Yes,Residential,Tier II,None,Yes,0.5940324506289658
Thursday,18:00-18:30,No,Yes,Market,Tier III,Bus Stand,Yes,0.19089824734446048
Friday,05:30-06:00,Yes,No,Market,Tier I,Bus Stand,No,0.5632653941857184
Sunday,15:00-15:30,Yes,No,Residential,Tier I,Airport,No,0.939097318149654
Saturday,11:30-12:00,No,No,Market,Tier III,None,Yes,0.0011800557398014
Tuesday,04:00-04:30,No,Yes,Residential,Tier III,Railway Station,Yes,0.10556839826588182
Saturday,17:30-18:00,No,Yes,Market,Tier I,Airport,Yes,0.6014632110322873
Thursday,16:00-16:30,No,Yes,Market,Tier I,None,Yes,0.9201847168357812
Thursday,18:30-19:00,Yes,Yes,Residential,Tier II,Railway Station,No,0.6888055563056414
Sunday,19:00-19:30,No,Yes,Residential,Tier III,Railway Station,No,0.328110363290425
Saturday,11:30-12:00,No,Yes,Commercial,Tier III,Railway Station,Yes,0.7485973547431581
Sunday,23:30-00:00,Yes,Yes,Commercial,Tier I,Bus Stand,Yes,0.8756866638703478
Monday,18:00-18:30,Yes,Yes,Residential,Tier I,Bus Stand,No,0.3397906111367289
Monday,03:30-04:00,Yes,No,Office Area,Tier I,Airport,Yes,0.7225068533059102
Friday,13:00-13:30,Yes,Yes,Commercial,Tier I,Railway Station,No,0.04449458763202996
Sunday,21:00-21:30,Yes,No,Commercial,Tier III,Railway Station,Yes,0.6064322083847594
Sunday,05:00-05:30,No,No,Residential,Tier I,Airport,Yes,0.7269551540467925
Sunday,07:30-08:00,No,Yes,Residential,Tier I,None,Yes,0.7526401499799272
Friday,07:30-08:00,Yes,Yes,Commercial,Tier III,Airport,No,0.7463400284038062
Saturday,01:30-02:00,Yes,Yes,Residential,Tier II,Bus Stand,No,0.7232029240194148
Sunday,15:00-15:30,No,Yes,Market,Tier II,Airport,No,0.095507877931849
Monday,17:30-18:00,No,Yes,Office Area,Tier III,Airport,No,0.5567048191702021
Wednesday,02:00-02:30,No,No,Market,Tier I,None,Yes,0.5399333028703307
Wednesday,02:00-02:30,Yes,Yes,Commercial,Tier I,None,No,0.06378062902745374
Monday,23:30-00:00,Yes,Yes,Office Area,Tier I,Airport,Yes,0.43733936049888644
Sunday,00:00-00:30,No,Yes,Market,Tier I,None,No,0.18641186982598534
Tuesday,17:30-18:00,Yes,No,Commercial,Tier I,Airport,Yes,0.9089391031744536
Monday,06:00-06:30,No,Yes,Commercial,Tier II,Airport,No,0.9910100230798973
Thursday,05:30-06:00,No,No,Residential,Tier III,None,Yes,0.18000138638304075
Wednesday,20:00-20:30,No,No,Commercial,Tier II,None,No,0.7989167607615189
Saturday,03:30-04:00,Yes,Yes,Residential,Tier I,Airport,Yes,0.7442518589453541
Tuesday,17:00-17:30,Yes,No,Residential,Tier III,None,No,0.16156215362572202
Tuesday,06:30-07:00,No,No,Market,Tier I,None,Yes,0.2782788689043947
Saturday,00:30-01:00,Yes,Yes,Commercial,Tier III,Railway Station,Yes,0.8019358311757108
Tuesday,20:00-20:30,Yes,No,Market,Tier III,Bus Stand,Yes,0.7805828722712068
Tuesday,09:30-10:00,Yes,Yes,Market,Tier I,Bus Stand,Yes,0.04200101854488114
Monday,11:00-11:30,No,Yes,Commercial,Tier II,Railway Station,No,0.17332045111498473
Thursday,22:30-23:00,Yes,Yes,Market,Tier II,Airport,Yes,0.3706952293741951
Sunday,00:30-01:00,No,Yes,Commercial,Tier III,Railway Station,Yes,0.3538516993061178
Saturday,21:00-21:30,No,No,Residential,Tier III,Railway Station,Yes,0.36951791428428216
Wednesday,03:00-03:30,Yes,No,Commercial,Tier I,Railway Station,No,0.9972480556359363
Friday,22:00-22:30,No,Yes,Commercial,Tier II,Railway Station,No,0.11512743978662565
Friday,11:00-11:30,Yes,No,Office Area,Tier I,Bus Stand,No,0.30311628504497945
Saturday,08:30-09:00,Yes,Yes,Office Area,Tier III,Bus Stand,Yes,0.9007846791936805
Tuesday,15:00-15:30,Yes,Yes,Residential,Tier I,None,Yes,0.8499798415426468
Monday,01:00-01:30,No,Yes,Market,Tier II,Airport,Yes,0.8631431465426018
Thursday,18:30-19:00,Yes,No,Market,Tier I,None,No,0.1647493854755373
Sunday,09:30-10:00,Yes,No,Office Area,Tier II,None,Yes,0.5412832011006818
Sunday,09:00-09:30,Yes,Yes,Commercial,Tier I,Bus Stand,Yes,0.7898028165528661
Saturday,13:30-14:00,No,No,Residential,Tier I,Airport,Yes,0.8778540609592528
Saturday,15:00-15:30,Yes,Yes,Market,Tier III,None,Yes,0.5799676085526801
Tuesday,10:00-10:30,No,Yes,Residential,Tier I,Airport,No,0.8517887927117739
Thursday,05:30-06:00,Yes,Yes,Market,Tier III,Bus Stand,No,0.11360526094144685
Tuesday,14:30-15:00,Yes,No,Market,Tier I,Bus Stand,Yes,0.2717320197532873
Thursday,12:00-12:30,No,Yes,Commercial,Tier I,Airport,Yes,0.10333954398806955
Saturday,04:30-05:00,Yes,No,Commercial,Tier I,Railway Station,Yes,0.24923934935755232
Saturday,16:30-17:00,Yes,No,Residential,Tier II,Railway Station,Yes,0.13751614960126124
Thursday,15:00-15:30,Yes,Yes,Market,Tier I,Railway Station,Yes,0.42199500770684617
Wednesday,14:30-15:00,No,Yes,Market,Tier III,Bus Stand,No,0.573792301436538
Tuesday,00:00-00:30,Yes,Yes,Office Area,Tier II,Airport,No,0.07226532044523593
Wednesday,01:00-01:30,Yes,No,Commercial,Tier II,None,No,0.7763034657452562
Thursday,18:00-18:30,No,No,Office Area,Tier III,Airport,No,0.9209315624306138
Friday,22:00-22:30,Yes,Yes,Market,Tier III,Airport,Yes,0.5463760345126136
Thursday,01:00-01:30,Yes,No,Commercial,Tier III,Bus Stand,Yes,0.559263382098343
Saturday,21:00-21:30,Yes,No,Market,Tier I,Bus Stand,No,0.4300939582024377
Saturday,22:00-22:30,No,No,Commercial,Tier I,Airport,Yes,0.5897713506215979
Thursday,22:00-22:30,No,Yes,Office Area,Tier II,Railway Station,No,0.1611730196714134
Friday,21:30-22:00,No,No,Commercial,Tier I,Railway Station,No,0.8056457321757878
Wednesday,14:30-15:00,No,Yes,Office Area,Tier II,None,No,0.2460733351700325
Friday,17:30-18:00,Yes,No,Office Area,Tier II,Railway Station,Yes,0.7914212625042755
Saturday,06:00-06:30,Yes,No,Residential,Tier II,None,Yes,0.5874976107010664
Tuesday,21:30-22:00,Yes,No,Market,Tier III,Bus Stand,Yes,0.16833593658947754
Friday,12:30-13:00,Yes,Yes,Commercial,Tier I,Bus Stand,Yes,0.13785350625984083
Saturday,00:30-01:00,No,Yes,Market,Tier I,Railway Station,No,0.44828069986171093
Saturday,09:00-09:30,No,Yes,Commercial,Tier I,None,No,0.884908554950393
Sunday,20:00-20:30,No,No,Residential,Tier II,Railway Station,Yes,0.5604663260039336
Wednesday,08:30-09:00,No,Yes,Commercial,Tier II,Railway Station,Yes,0.9172483356459485
Sunday,19:30-20:00,Yes,Yes,Market,Tier I,Bus Stand,Yes,0.5898088287588173
Sunday,20:30-21:00,No,No,Office Area,Tier II,Airport,No,0.9143679534778651
Monday,10:00-10:30,Yes,No,Market,Tier III,None,No,0.0063086246082234565
Friday,06:00-06:30,Yes,Yes,Office Area,Tier III,None,No,0.9079447055315125
Saturday,15:30-16:00,Yes,Yes,Office Area,Tier II,Bus Stand,No,0.8846874364569843
Tuesday,05:30-06:00,No,No,Office Area,Tier III,Airport,Yes,0.13788922476561927
Thursday,06:30-07:00,Yes,Yes,Commercial,Tier II,Railway Station,No,0.6515568938688593
Wednesday,12:00-12:30,Yes,Yes,Commercial,Tier III,Bus Stand,Yes,0.765390694561442
Friday,13:30-14:00,No,No,Market,Tier I,Airport,No,0.06749482178557165
Tuesday,07:30-08:00,No,No,Office Area,Tier III,Railway Station,Yes,0.6103481573882584
Tuesday,10:30-11:00,Yes,Yes,Residential,Tier I,Railway Station,No,0.6483896068351517
Saturday,19:30-20:00,Yes,Yes,Office Area,Tier I,Airport,No,0.1816112528578958
Tuesday,05:00-05:30,No,Yes,Residential,Tier III,Airport,Yes,0.12190026440459767
Monday,09:00-09:30,Yes,Yes,Market,Tier I,None,Yes,0.6652330859954078
Sunday,00:00-00:30,No,Yes,Commercial,Tier II,Airport,Yes,0.6932296095879907
Sunday,19:00-19:30,No,No,Office Area,Tier III,None,No,0.4581041515984824
Sunday,20:00-20:30,No,No,Market,Tier I,Bus Stand,No,0.7397133935494506
Saturday,15:30-16:00,No,Yes,Commercial,Tier II,Bus Stand,No,0.7232736630220903
Sunday,09:00-09:30,Yes,No,Market,Tier II,Bus Stand,No,0.2071927384181157
Wednesday,14:30-15:00,No,No,Residential,Tier II,Railway Station,Yes,0.4030650282972923
Sunday,04:30-05:00,Yes,No,Office Area,Tier III,Bus Stand,Yes,0.9258868722736276
Sunday,22:30-23:00,No,No,Residential,Tier I,None,No,0.6802178345481859
Saturday,08:30-09:00,Yes,No,Office Area,Tier II,Railway Station,Yes,0.9118479580875075
Thursday,21:00-21:30,Yes,Yes,Commercial,Tier II,Airport,Yes,0.05777833563164381
Sunday,02:30-03:00,Yes,No,Office Area,Tier III,Railway Station,No,0.112468652995517
Monday,00:00-00:30,Yes,No,Market,Tier I,Airport,Yes,0.5786714243390416
Monday,23:00-23:30,No,No,Market,Tier III,Bus Stand,No,0.17684466749698913
Tuesday,14:00-14:30,No,Yes,Office Area,Tier I,Airport,Yes,0.5071485338543646
Saturday,14:00-14:30,No,No,Commercial,Tier III,Bus Stand,No,0.6542087277300114
Tuesday,15:00-15:30,No,Yes,Residential,Tier II,Bus Stand,No,0.21280542666469637
Thursday,22:00-22:30,Yes,No,Office Area,Tier III,Bus Stand,Yes,0.4345711283981264
Monday,19:00-19:30,No,Yes,Market,Tier III,Airport,No,0.5469597989945305
Tuesday,10:00-10:30,No,Yes,Office Area,Tier II,Bus Stand,Yes,0.40612013915226863
Friday,08:00-08:30,Yes,No,Commercial,Tier I,None,No,0.6764392210154533
Sunday,20:00-20:30,No,Yes,Market,Tier III,Airport,No,0.9687375263819571
Wednesday,08:00-08:30,Yes,No,Commercial,Tier I,Airport,No,0.4045666286612093
Monday,14:00-14:30,Yes,Yes,Commercial,Tier II,None,No,0.7938819400178923
Friday,13:30-14:00,Yes,Yes,Office Area,Tier I,Railway Station,No,0.7301788788833308
Friday,21:30-22:00,Yes,Yes,Office Area,Tier I,Railway Station,Yes,0.865350967390043
Saturday,03:30-04:00,No,Yes,Market,Tier III,Bus Stand,No,0.5308788702453033
Wednesday,05:00-05:30,Yes,Yes,Residential,Tier III,Railway Station,No,0.43685326828288995
Friday,11:00-11:30,No,Yes,Commercial,Tier II,None,No,0.029979471745203434
Thursday,08:00-08:30,No,Yes,Residential,Tier I,Airport,Yes,0.37617902455361574
Saturday,03:30-04:00,Yes,No,Office Area,Tier III,Railway Station,No,0.4314164256372468
Wednesday,13:30-14:00,No,Yes,Residential,Tier II,Railway Station,Yes,0.9533172383745079
Monday,18:00-18:30,No,No,Market,Tier II,None,Yes,0.7181167446376621
Tuesday,17:30-18:00,Yes,No,Office Area,Tier I,Railway Station,Yes,0.5678128300315506
Tuesday,03:00-03:30,Yes,No,Commercial,Tier III,Bus Stand,No,0.3331525715235
Friday,08:30-09:00,Yes,No,Residential,Tier III,Airport,No,0.6840128718449608
Saturday,16:30-17:00,No,Yes,Commercial,Tier I,Airport,No,0.12823691662889847
Friday,08:00-08:30,Yes,Yes,Office Area,Tier I,Railway Station,No,0.6023804948730183
Monday,11:30-12:00,No,Yes,Market,Tier I,None,No,0.26288935281288006
Wednesday,00:00-00:30,No,No,Residential,Tier I,Airport,No,0.17028410474890143
Thursday,07:00-07:30,No,No,Market,Tier III,None,No,0.7870690268057937
Tuesday,20:00-20:30,Yes,Yes,Commercial,Tier I,Bus Stand,No,0.04981762580447602
Wednesday,18:30-19:00,No,No,Market,Tier III,Bus Stand,Yes,0.31100434542519884
Monday,21:30-22:00,No,No,Commercial,Tier I,Bus Stand,No,0.6379630722914844
Friday,23:30-00:00,Yes,Yes,Office Area,Tier III,Bus Stand,No,0.03143288401296118
Friday,22:30-23:00,Yes,Yes,Commercial,Tier III,None,No,0.1414843293085567
Friday,13:00-13:30,Yes,Yes,Office Area,Tier II,Airport,No,0.5479443088928772
Friday,02:30-03:00,Yes,Yes,Market,Tier II,Airport,Yes,0.016468176579060412
Friday,09:00-09:30,No,No,Commercial,Tier II,Railway Station,Yes,0.6429080116953572
Saturday,03:00-03:30,Yes,No,Market,Tier I,None,No,0.3228684341160978
Wednesday,21:00-21:30,No,No,Commercial,Tier II,Airport,No,0.6946283978058921
Monday,07:30-08:00,Yes,No,Residential,Tier I,Railway Station,No,0.6791889308178316
Sunday,02:30-03:00,Yes,No,Residential,Tier I,Bus Stand,Yes,0.2507419769390973
Wednesday,04:00-04:30,Yes,Yes,Market,Tier III,None,Yes,0.7150273511208624
Wednesday,17:30-18:00,No,Yes,Residential,Tier III,None,Yes,0.9830640384026448
Thursday,12:00-12:30,No,No,Office Area,Tier III,Airport,No,0.3031288317280417
Tuesday,15:00-15:30,Yes,No,Commercial,Tier I,Airport,No,0.5623194012730058
Saturday,07:00-07:30,No,Yes,Residential,Tier III,None,No,0.42327568403333615
Saturday,23:00-23:30,Yes,Yes,Office Area,Tier III,Bus Stand,Yes,0.9560402347979735
Sunday,17:00-17:30,Yes,Yes,Office Area,Tier I,Airport,Yes,0.8307804331767968
Tuesday,18:30-19:00,Yes,Yes,Commercial,Tier I,Railway Station,Yes,0.2319243683523844
Monday,13:00-13:30,Yes,Yes,Market,Tier I,Railway Station,Yes,0.6775189310201903
Saturday,10:00-10:30,Yes,No,Office Area,Tier III,Bus Stand,Yes,0.2338642252519072
Wednesday,00:00-00:30,Yes,Yes,Market,Tier I,Bus Stand,Yes,0.6636586364603794
Saturday,20:30-21:00,No,No,Office Area,Tier I,Airport,Yes,0.894777046124087
Sunday,21:30-22:00,No,Yes,Market,Tier III,Bus Stand,Yes,0.9596013639313896
Monday,19:30-20:00,No,Yes,Office Area,Tier I,Railway Station,No,0.2509508789456696
Wednesday,13:30-14:00,No,No,Commercial,Tier II,Railway Station,Yes,0.774646132008084
Wednesday,17:30-18:00,Yes,No,Commercial,Tier III,Railway Station,No,0.3710942110527401
Monday,07:00-07:30,Yes,Yes,Commercial,Tier I,Railway Station,Yes,0.6642979186545067
Wednesday,04:00-04:30,No,Yes,Residential,Tier II,Bus Stand,No,0.9420738664586781
Friday,07:30-08:00,No,No,Market,Tier III,Railway Station,Yes,0.9202324846881083
Wednesday,13:00-13:30,Yes,No,Commercial,Tier II,Bus Stand,Yes,0.41491094411665463
